컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
31,22.6,23.167,0.567,17,group,WS,cut,,full,ref,seedance-2-0 > kling-v3-omni > gemini-omni-1-1-flash,clips/s31.mp4,0.933,,
32,23.167,24.1,0.933,28,hero_costume,CU,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s32.mp4,0.5,,
33,24.1,24.467,0.367,11,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s33.mp4,0.5,,
34,24.467,25.367,0.9,27,hero,CU,cut,,full,재사용,생성 불필요,clips/s33.mp4,0.867,"x1.65@0.46,0.41",
35,25.367,26.333,0.967,29,hero,MS,cut,,full,재사용,생성 불필요,clips/s33.mp4,1.767,"x1.06@0.50,0.50",x1.064
36,26.333,26.967,0.633,19,hero,CU,cut,sparkle,full,재사용,생성 불필요,clips/s33.mp4,2.734,"x2.29@0.48,0.42",
37,26.967,27.5,0.533,16,hero,MS,cut,,full,재사용,생성 불필요,clips/s33.mp4,3.367,"x1.02@0.50,0.50",
38,27.5,27.933,0.433,13,cw1,MCU,cut,,full,재사용,생성 불필요,clips/s39.mp4,0.5,"x1.97@0.53,0.27",
39,27.933,28.7,0.767,23,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s39.mp4,0.933,,
40,28.7,29.567,0.867,26,cw2,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s40.mp4,0.5,,
41,29.567,30.167,0.6,18,cw2,MCU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s41.mp4,0.5,,
42,30.167,30.667,0.5,15,hero,MS→CU,zoomblur,crash_zoom,full,i2v,minimax-h3 > kling-v3 > still,clips/s42.mp4,0.5,,
43,30.667,31.667,1.0,30,hero_costume,MS(하이앵글),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s43.mp4,0.5,,x1.085
44,31.667,32.633,0.967,29,boss,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s44.mp4,0.5,,
45,32.633,33.467,0.833,25,group,WS,cut,,full,ref,seedance-2-0 > gemini-omni-1-1-flash > kling-v3-omni,clips/s45.mp4,0.5,,
46,33.467,33.9,0.433,13,hero_costume,ECU,cut,push_in_slow,full,still,still > kling-v3,clips/s46.mp4,0.5,,
47,33.9,34.333,0.433,13,hero_costume,ECU,cut,dip_out,full,edit,edit,clips/s47.mp4,0.5,,
48,34.333,35.0,0.667,20,cw1,MCU,cut,,full,재사용,생성 불필요,clips/s49.mp4,0.5,"x1.89@0.51,0.44",
49,35.0,35.567,0.567,17,cw1,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s49.mp4,1.167,,
50,35.567,36.133,0.567,17,cw1,CU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s50.mp4,0.5,,
51,36.133,37.3,1.167,35,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0 > kling-v3,clips/s51.mp4,0.5,,x1.034
