컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
28,28.833,33.433,4.6,138,hero,FS 뒷모습(컵 속 시점),dissolve,,full,재사용,생성 불필요,clips/s30.mp4,0.5,"x1.07@0.48,0.50",
29,33.433,34.267,0.833,25,hero,MS 뒷모습(약 2배 크롭),cut,,full,재사용,생성 불필요,clips/s30.mp4,5.1,"x2.12@0.48,0.35",
30,34.267,35.6,1.333,40,hero,FS 뒷모습,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s30.mp4,5.933,,
31,35.6,36.367,0.767,23,hero,MS 뒷모습(약 1.9배 크롭),cut,,full,재사용,생성 불필요,clips/s30.mp4,7.266,"x1.91@0.51,0.50",
32,36.367,37.067,0.7,21,insert,휩 팬(컵 속 POV),cut,whip,full,재사용,생성 불필요,clips/s39.mp4,0.0,"x1.0@0.50,0.50",
33,37.067,37.933,0.867,26,hero,MCU,cut,,full,재사용,생성 불필요,clips/s39.mp4,0.5,"x1.46@0.34,0.40",
34,37.933,39.1,1.167,35,hero,FS(전신),cut,,full,재사용,생성 불필요,clips/s39.mp4,1.367,"x1.07@0.52,0.55",
35,39.1,39.567,0.467,14,hero,MCU(약 1.75배 크롭),cut,,full,재사용,생성 불필요,clips/s39.mp4,2.534,"x1.85@0.34,0.39",
36,39.567,40.367,0.8,24,hero,MS(약 1.3배 크롭),cut,,full,재사용,생성 불필요,clips/s39.mp4,3.001,"x1.37@0.35,0.40",
37,40.367,41.0,0.633,19,hero,FS,cut,,full,재사용,생성 불필요,clips/s39.mp4,3.801,"x1.0@0.50,0.50",
38,41.0,41.6,0.6,18,hero,MCU(줌인),cut,crash_zoom,full,재사용,생성 불필요,clips/s39.mp4,4.434,"x1.97@0.36,0.37",
39,41.6,42.067,0.467,14,hero,FS,cut,,full,ref,kling-v3-omni > seedance-2-0 > gemini-omni-1-1-flash,clips/s39.mp4,5.034,,
40,42.067,42.4,0.333,10,hero,ECU(흐림),cut,push_in_slow,full,still,still > edit,clips/s40.mp4,0.5,,
41,42.4,43.8,1.4,42,insert,INSERT(빈 컵),cut,push_in_slow,full,재사용,생성 불필요,clips/s39.mp4,5.501,"x2.72@0.75,0.71",
42,43.8,44.933,1.133,34,hero,CU,cut,,full,재사용,생성 불필요,clips/s46.mp4,0.5,"x1.88@0.52,0.47",x1.039
43,44.933,46.1,1.167,35,hero,ECU(약 1.5배 크롭),cut,,full,재사용,생성 불필요,clips/s46.mp4,1.633,"x2.88@0.52,0.47",
44,46.1,46.9,0.8,24,hero,ECU(약 1.9배 크롭),cut,,full,재사용,생성 불필요,clips/s46.mp4,2.8,"x3.7@0.52,0.41",
45,46.9,47.7,0.8,24,hero,CU(약 1.1배 크롭),cut,,full,재사용,생성 불필요,clips/s46.mp4,3.6,"x2.26@0.52,0.47",
46,47.7,49.0,1.3,39,hero,MCU,cut,,full,ref,kling-v3-omni > hailuo-2-3,clips/s46.mp4,4.4,,
47,49.0,50.367,1.367,41,hero,CU(약 2배 크롭),cut,,full,재사용,생성 불필요,clips/s46.mp4,5.7,"x2.0@0.53,0.46",
48,50.367,50.6,0.233,7,black,암전,cut,,full,edit,edit,clips/s48.mp4,0.5,,
