컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
20,12.333,12.7,0.367,11,hero_costume,ECU,cut,,full,재사용,생성 불필요,clips/s18.mp4,1.5,"x1.97@0.54,0.45",
21,12.7,13.333,0.633,19,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s21.mp4,0.5,,
22,13.333,13.667,0.333,10,hero_costume,CU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s22.mp4,0.5,,
23,13.667,13.967,0.3,9,hero_costume,ECU,cut,,full,재사용,생성 불필요,clips/s22.mp4,0.833,"x1.85@0.50,0.48",
24,13.967,15.067,1.1,33,hero_costume,CU→WS,cut,,full,ref,seedance-2-0 > kling-v3-omni > seedance-2-5,clips/s24.mp4,0.5,,
25,15.067,15.633,0.567,17,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s25.mp4,0.5,,
26,15.633,16.5,0.867,26,hero_costume,MS→MCU→CU,cut,crash_zoom,full,ref,kling-v3-omni > seedance-2-0,clips/s26.mp4,0.5,,
27,16.5,17.033,0.533,16,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > viduq3-pro,clips/s27.mp4,0.5,,
28,17.033,17.4,0.367,11,hero_costume,ECU,cut,,full,재사용,생성 불필요,clips/s30.mp4,0.5,"x1.88@0.53,0.43",
29,17.4,17.833,0.433,13,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > viduq3-pro,clips/s29.mp4,0.5,,
30,17.833,18.267,0.433,13,hero_costume,MCU,cut,,full,i2v,minimax-h3 > hailuo-2-3 > kling-v3,clips/s30.mp4,0.867,,
31,18.267,18.733,0.467,14,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > viduq3-pro,clips/s31.mp4,0.5,,
32,18.733,18.933,0.2,6,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s32.mp4,0.5,,
33,18.933,19.633,0.7,21,hero,CU,cut,,full,재사용,생성 불필요,clips/s32.mp4,0.7,"x2.0@0.50,0.50",
34,19.633,20.033,0.4,12,hero_costume,ECU,cut,,full,재사용,생성 불필요,clips/s30.mp4,1.3,"x2.21@0.53,0.47",
35,20.033,20.933,0.9,27,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s35.mp4,0.5,,
36,20.933,21.467,0.533,16,hero,CU,cut,crash_zoom,full,ref,kling-v3-omni > minimax-h3,clips/s36.mp4,0.5,,
37,21.467,22.0,0.533,16,insert,INSERT(게임 배너),cut,,full,edit,edit,clips/s37.mp4,0.5,,
38,22.0,22.667,0.667,20,hero_costume,ECU,cut,crash_zoom,full,i2v,minimax-h3 > hailuo-2-3,clips/s38.mp4,0.5,,
39,22.667,23.833,1.167,35,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s39.mp4,0.5,,
40,23.833,24.5,0.667,20,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s40.mp4,0.5,,
41,24.5,25.567,1.067,32,insert,INSERT(게임 화면),cut,,full,재사용,생성 불필요,clips/s39.mp4,1.667,"x1.02@0.49,0.51",
42,25.567,27.1,1.533,46,insert,INSERT(채팅 확대),cut,,full,edit,edit,clips/s42.mp4,0.5,,
43,27.1,27.733,0.633,19,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s43.mp4,0.5,,
44,27.733,28.3,0.567,17,hero,CU,cut,,full,재사용,생성 불필요,clips/s43.mp4,1.133,"x1.98@0.48,0.47",
45,28.3,28.733,0.433,13,hero_costume,ECU(앞발),cut,,full,재사용,생성 불필요,clips/s46.mp4,0.5,"x2.7@0.53,0.71",
46,28.733,29.633,0.9,27,hero_costume,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s46.mp4,0.933,,
47,29.633,31.033,1.4,42,hero_costume,CU→MS,cut,,full,ref,kling-v3-omni > seedance-2-0 > minimax-h3,clips/s47.mp4,0.5,,x0.589
48,31.033,31.833,0.8,24,insert,INSERT(게임 배너),cut,,full,edit,edit,clips/s48.mp4,0.5,,
49,31.833,32.633,0.8,24,insert,INSERT(채팅 확대),cut,,full,edit,edit,clips/s49.mp4,0.5,,
50,32.633,33.567,0.933,28,hero,ECU(앞발),cut,,full,i2v,kling-v3 > veo-3-1,clips/s50.mp4,0.5,,x1.032
51,33.567,34.567,1.0,30,insert,INSERT(채팅 확대),cut,,full,edit,edit,clips/s51.mp4,0.5,,
52,34.567,35.167,0.6,18,hero,CU,cut,,full,재사용,생성 불필요,clips/s43.mp4,1.7,"x2.01@0.48,0.47",
53,35.167,36.567,1.4,42,insert,INSERT(게임 화면),cut,,full,i2v,kling-v3 > seedance-2-0,clips/s53.mp4,0.5,,x0.885
54,36.567,37.167,0.6,18,hero_costume,CU(광각 초근접),cut,shake,full,i2v,minimax-h3 > hailuo-2-3,clips/s54.mp4,0.5,,
55,37.167,37.967,0.8,24,insert,INSERT(게임 화면),cut,,full,i2v,seedance-2-0 > kling-v3,clips/s55.mp4,0.5,,
56,37.967,39.0,1.033,31,insert,INSERT(채팅 확대),cut,,full,edit,edit,clips/s56.mp4,0.5,,
57,39.0,39.533,0.533,16,hero,MS,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s57.mp4,0.5,,
58,39.533,39.933,0.4,12,hero,CU,cut,,full,재사용,생성 불필요,clips/s57.mp4,1.033,"x2.38@0.51,0.45",
59,39.933,40.667,0.733,22,insert,INSERT(채팅 입력창),cut,,full,edit,edit,clips/s59.mp4,0.5,,
60,40.667,41.333,0.667,20,insert,INSERT(패배 화면),cut,,full,edit,edit,clips/s60.mp4,0.5,,
61,41.333,41.933,0.6,18,hero,MCU,cut,,full,재사용,생성 불필요,clips/s63.mp4,0.5,"x1.74@0.55,0.39",
62,41.933,42.333,0.4,12,hero,CU,cut,,full,재사용,생성 불필요,clips/s63.mp4,1.1,"x2.7@0.56,0.35",
63,42.333,42.9,0.567,17,hero,MS(와이드),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s63.mp4,1.5,,
