컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
28,24.267,24.933,0.667,20,hero,MCU(엘리베이터 원본 약 2.3배 크롭),cut,,full,재사용,생성 불필요,clips/s27.mp4,1.3,"x2.3@0.53,0.27",
29,24.933,25.3,0.367,11,hero,ECU(엘리베이터 원본 약 3배 크롭),cut,,full,재사용,생성 불필요,clips/s27.mp4,1.967,"x3.07@0.53,0.27",
30,25.3,25.733,0.433,13,hero_costume,MCU(게임 원본 약 1.4배 크롭),cut,,full,재사용,생성 불필요,clips/s32.mp4,0.5,"x1.29@0.47,0.40",
31,25.733,26.2,0.467,14,hero_costume,ECU(게임 원본 약 3.45배 크롭),cut,,full,재사용,생성 불필요,clips/s32.mp4,0.933,"x3.27@0.43,0.30",
32,26.2,26.567,0.367,11,hero_costume,MS(게임 원본 1.0배),cut,,full,ref,minimax-h3 > kling-v3-omni > hailuo-2-3,clips/s32.mp4,1.4,,
33,26.567,27.033,0.467,14,hero_costume,MCU(게임 원본 약 1.7배 크롭),cut,shake,full,재사용,생성 불필요,clips/s32.mp4,1.767,"x1.78@0.46,0.59",
34,27.033,27.267,0.233,7,hero_costume,"MCU(게임 원본 약 1.75배 크롭, 0.23초)",cut,shake,full,재사용,생성 불필요,clips/s32.mp4,2.234,"x1.65@0.42,0.41",
35,27.267,27.933,0.667,20,hero,MCU(엘리베이터 원본 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s35.mp4,0.5,,
36,27.933,29.6,1.667,50,hero,CU(엘리베이터 원본 약 1.25배 크롭),cut,,full,재사용,생성 불필요,clips/s35.mp4,1.167,"x1.23@0.48,0.49",
37,29.6,29.933,0.333,10,hero,"INSERT(앞발 CU, 옥상 원본 약 1.75배 크롭)",cut,,full,재사용,생성 불필요,clips/s38.mp4,0.5,"x1.74@0.46,0.73",
38,29.933,30.333,0.4,12,hero,MS(옥상 원본 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s38.mp4,0.833,,
39,30.333,31.067,0.733,22,hero,MS(옥상 원본 약 1.1배 크롭),cut,,full,재사용,생성 불필요,clips/s41.mp4,0.5,"x1.1@0.55,0.44",
40,31.067,31.667,0.6,18,hero,CU(케이스 뚜껑),cut,,full,i2v,kling-v3 > viduq3-pro,clips/s40.mp4,0.5,,
41,31.667,32.233,0.567,17,hero,MS(옥상 원본 1.0배),cut,,full,i2v-fl,kling-v3 > veo-3-1,clips/s41.mp4,1.233,,
42,32.233,32.667,0.433,13,hero,MCU(옥상 원본 약 1.75배 크롭),cut,,full,재사용,생성 불필요,clips/s41.mp4,1.8,"x1.78@0.55,0.33",
43,32.667,33.3,0.633,19,hero,"ECU(옥상 원본 약 3배 크롭, 추정)",cut,,full,재사용,생성 불필요,clips/s41.mp4,2.233,"x3.0@0.50,0.50",
44,33.3,34.233,0.933,28,hero,WS(옥상 원본 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s44.mp4,0.5,,x1.037
45,34.233,34.867,0.633,19,hero,"ECU(옥상 원본 약 4배 크롭, 추정)",cut,,full,재사용,생성 불필요,clips/s44.mp4,1.433,"x4.0@0.50,0.50",
46,34.867,35.567,0.7,21,hero,MS(옥상 원본 약 1.6배 크롭),cut,,full,재사용,생성 불필요,clips/s44.mp4,2.066,"x1.62@0.50,0.40",
47,35.567,36.167,0.6,18,hero,ECU(옥상 원본 약 4.25배 크롭),cut,,full,재사용,생성 불필요,clips/s44.mp4,2.766,"x4.15@0.49,0.38",
48,36.167,37.133,0.967,29,insert,"INSERT(행사장 벽, 회상 액자 안)",cut,push_in_slow,full,still,still,clips/s48.mp4,0.5,,
49,37.133,37.667,0.533,16,hero,MS(회상 액자 안),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s49.mp4,0.5,,
50,37.667,38.533,0.867,26,hero,"MCU(회상 액자 안, 약 2.25배 크롭)",cut,,full,재사용,생성 불필요,clips/s49.mp4,1.033,"x2.25@0.50,0.50",
51,38.533,39.567,1.033,31,hero,MCU→ECU(컷 안 확대),cut,crash_zoom,full,재사용,생성 불필요,clips/s53.mp4,0.5,"x0.94@0.47,0.59",
52,39.567,40.6,1.033,31,hero,"ECU(옥상 원본 약 2.45배 크롭, 눈만)",cut,,full,재사용,생성 불필요,clips/s53.mp4,1.533,"x2.38@0.49,0.50",
53,40.6,41.1,0.5,15,hero,MCU(옥상 원본 1.0배),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s53.mp4,2.566,,
54,41.1,42.067,0.967,29,hero,"MS(엎드린 저격 자세, 야간 원본 1.0배)",cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s54.mp4,0.5,,
55,42.067,42.5,0.433,13,hero,CU(야간 원본 약 1.8배 크롭),cut,,full,재사용,생성 불필요,clips/s54.mp4,1.467,"x1.78@0.48,0.42",
56,42.5,43.167,0.667,20,hero,MS,cut,,full,재사용,생성 불필요,clips/s54.mp4,1.9,"x1.17@0.46,0.48",
57,43.167,44.133,0.967,29,hero,CU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s54.mp4,2.567,"x3.28@0.47,0.41",
58,44.133,45.267,1.133,34,hero,MS→MCU,cut,,full,재사용,생성 불필요,clips/s54.mp4,3.534,"x1.21@0.45,0.46",
59,45.267,46.233,0.967,29,hero,ECU(스코프 옆 얼굴),cut,,full,재사용,생성 불필요,clips/s54.mp4,4.667,"x2.91@0.51,0.49",x1.031
60,46.233,46.567,0.333,10,hero,INSERT(ECU),cut,push_in_slow,full,still,still > kling-v3,clips/s60.mp4,0.5,,
61,46.567,46.933,0.367,11,hero,MS,cut,shake,full,i2v,kling-v3 > seedance-2-0 > kling-v3-omni,clips/s61.mp4,0.5,,
62,46.933,47.367,0.433,13,hero,CU(디지털 크롭),cut,shake,full,재사용,생성 불필요,clips/s61.mp4,0.867,"x2.7@0.48,0.49",
63,47.367,47.933,0.567,17,insert,POV(총알 시점 항공),zoomblur,,full,i2v,seedance-2-5 > veo-3-1 > viduq3-pro,clips/s63.mp4,0.5,,
64,47.933,48.133,0.2,6,insert,POV(창문 급접근),cut,crash_zoom,full,still,still > edit,clips/s64.mp4,0.5,,
65,48.133,51.2,3.067,92,cw1,MS→MCU,cut,push_in_slow,full,i2v-fl,veo-3-1 > seedance-2-5 > kling-v3,clips/s65.mp4,0.5,,
66,51.2,51.733,0.533,16,cw1,ECU,cut,,full,i2v,veo-3-1 > kling-v3,clips/s66.mp4,0.5,,
67,51.733,52.467,0.733,22,cw1,WS,cut,,full,i2v,veo-3-1 > seedance-2-0 > kling-v3,clips/s67.mp4,0.5,,
68,52.467,53.233,0.767,23,cw1,WS(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s67.mp4,1.233,"x1.72@0.52,0.53",
69,53.233,54.7,1.467,44,cw1,"MS(가슴, 부감)",cut,,full,i2v,veo-3-1 > kling-v3,clips/s69.mp4,0.5,,
70,54.7,55.667,0.967,29,cw1,"CU(가슴 주머니, 디지털 크롭)",cut,,full,재사용,생성 불필요,clips/s69.mp4,1.967,"x1.88@0.56,0.49",
71,55.667,56.533,0.867,26,cw1,MS(디지털 크롭),cut,,full,edit,edit > veo-3-1,clips/s71.mp4,0.5,,
72,56.533,56.833,0.3,9,cw1,MS,cut,,full,edit,edit > veo-3-1,clips/s72.mp4,0.5,,
73,56.833,57.7,0.867,26,insert,INSERT(손+서류 CU),cut,,full,i2v,veo-3-1 > kling-v3,clips/s73.mp4,0.5,,
74,57.7,58.3,0.6,18,insert,ECU(서류 제목·체크 칸),cut,push_in_slow,full,still,still > edit,clips/s74.mp4,0.5,,
75,58.3,59.633,1.333,40,insert,ECU(손글씨),cut,push_in_slow,full,still,still > edit,clips/s75.mp4,0.5,,
76,59.633,60.433,0.8,24,group,MS(OTS),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s76.mp4,0.5,,
77,60.433,61.367,0.933,28,boss,MS(역 OTS),cut,,full,i2v,veo-3-1 > kling-v3,clips/s77.mp4,0.5,,
78,61.367,61.967,0.6,18,hero,FS(로우앵글),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s78.mp4,0.5,,
79,61.967,62.467,0.5,15,hero,FS→MS,cut,,full,edit,edit > kling-v3-omni,clips/s79.mp4,0.5,,
80,62.467,62.867,0.4,12,hero,MS(디지털 크롭),cut,,full,edit,edit > kling-v3-omni,clips/s80.mp4,0.5,,
81,62.867,65.6,2.733,82,group,WS(슬로모션),cut,,full,i2v,seedance-2-5 > veo-3-1,clips/s81.mp4,0.5,,
82,65.6,65.933,0.333,10,hero,ECU(턱 밑 로우앵글),cut,push_in_slow,full,still,still > kling-v3-omni,clips/s82.mp4,0.5,,
83,65.933,66.233,0.3,9,hero,ECU,cut,push_in_slow,full,still,still > kling-v3,clips/s83.mp4,0.5,,
84,66.233,66.733,0.5,15,hero,MCU(카운터 높이),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s84.mp4,0.5,,
85,66.733,67.633,0.9,27,hero,MCU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s84.mp4,1.0,"x1.69@0.51,0.30",
86,67.633,68.433,0.8,24,group,WS,cut,,full,i2v,veo-3-1 > kling-v3-omni,clips/s86.mp4,0.5,,
87,68.433,69.267,0.833,25,leader,MS(얼굴 크롭),cut,,full,i2v,veo-3-1 > kling-v3,clips/s87.mp4,0.5,,
88,69.267,69.8,0.533,16,insert,CU(손),cut,,full,i2v,veo-3-1 > kling-v3,clips/s88.mp4,0.5,,
89,69.8,70.9,1.1,33,insert,CU(서류),cut,,full,i2v,veo-3-1 > still,clips/s89.mp4,0.5,,
90,70.9,71.433,0.533,16,leader,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s90.mp4,0.5,,
91,71.433,71.833,0.4,12,hero,MCU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s91.mp4,0.5,,
92,71.833,72.4,0.567,17,hero,CU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s91.mp4,0.9,"x1.63@0.50,0.51",
93,72.4,73.9,1.5,45,group,WS(슬로모션),cut,,full,i2v,seedance-2-5 > veo-3-1,clips/s93.mp4,0.5,,
94,73.9,74.633,0.733,22,group,MS(OTS),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s94.mp4,0.5,,
95,74.633,75.433,0.8,24,group,MS(역 OTS),cut,,full,i2v,veo-3-1 > kling-v3,clips/s95.mp4,0.5,,
96,75.433,76.8,1.367,41,group,WS(슬로모션·얕은 심도),cut,,full,i2v,seedance-2-5 > veo-3-1,clips/s96.mp4,0.5,,
97,76.8,78.333,1.533,46,hero,WS(천장 앙각),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s97.mp4,0.5,,
98,78.333,78.9,0.567,17,hero,MS(공중),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s98.mp4,0.5,,x1.073
99,78.9,79.367,0.467,14,insert,CU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s100.mp4,0.5,"x1.89@0.50,0.59",
100,79.367,80.167,0.8,24,cw2,MS,cut,,full,i2v,veo-3-1 > kling-v3,clips/s100.mp4,0.967,,
101,80.167,80.9,0.733,22,insert,INSERT(종이 CU),cut,push_in_slow,full,still,still > edit,clips/s101.mp4,0.5,,
102,80.9,81.7,0.8,24,cw2,MS(뒷모습),cut,,full,i2v,veo-3-1 > kling-v3,clips/s102.mp4,0.5,,
103,81.7,82.467,0.767,23,hero,"MS(OTS, 디지털 크롭)",cut,,full,재사용,생성 불필요,clips/s104.mp4,0.5,"x1.81@0.51,0.35",
104,82.467,83.267,0.8,24,hero,MS(OTS 와이드),cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s104.mp4,1.267,,
105,83.267,83.967,0.7,21,hero,MCU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s105.mp4,0.5,,
106,83.967,84.667,0.7,21,hero,ECU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s105.mp4,1.2,"x3.07@0.51,0.47",
107,84.667,85.233,0.567,17,hero,MCU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s105.mp4,1.9,"x1.29@0.51,0.47",
108,85.233,85.833,0.6,18,hero,ECU(디지털 크롭),cut,,full,재사용,생성 불필요,clips/s105.mp4,2.467,"x2.54@0.51,0.47",
109,85.833,89.8,3.967,119,card,타이틀 카드(검정),cut,,full,edit,edit,clips/s109.mp4,0.5,,
