컷,시작(초),끝(초),길이(초),프레임,대상,사이즈,전환(들어올 때),효과,화면비,생성 방식,추천 모델,쓰는 클립,클립 시작(초),디지털 줌(배율@중심),컷 안 줌(시작→끝 배율)
25,17.067,17.7,0.633,19,hero,CU,cut,,full,재사용,생성 불필요,clips/s24.mp4,1.167,"x1.44@0.53,0.51",
26,17.7,18.4,0.7,21,insert,CU(팬 속 매크로),cut,,full,재사용,생성 불필요,clips/s27.mp4,0.5,"x1.55@0.49,0.49",
27,18.4,19.167,0.767,23,insert,CU(팬),cut,,full,i2v,veo-3-1 > kling-v3,clips/s27.mp4,1.2,,
28,19.167,19.8,0.633,19,hero,MCU(3/4 측면),cut,,full,재사용,생성 불필요,clips/s29.mp4,0.5,"x2.16@0.32,0.30",
29,19.8,20.667,0.867,26,hero,WS,cut,,full,ref,seedance-2-0 > kling-v3-omni,clips/s29.mp4,1.133,,x1.035
30,20.667,21.1,0.433,13,insert,CU(팬),cut,,full,i2v,viduq3-pro > veo-3-1,clips/s30.mp4,0.5,,
31,21.1,22.733,1.633,49,hero,MCU→CU,cut,crash_zoom,full,ref,minimax-h3 > hailuo-2-3 > kling-v3-omni,clips/s31.mp4,0.5,,
32,22.733,23.433,0.7,21,insert,ECU(음식 매크로),cut,,full,i2v,veo-3-1 > kling-v3,clips/s32.mp4,0.5,,
33,23.433,24.2,0.767,23,insert,CU(그릇),cut,,full,i2v,veo-3-1 > kling-v3,clips/s33.mp4,0.5,,
34,24.2,24.833,0.633,19,hero,MS,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s34.mp4,0.5,,
35,24.833,25.467,0.633,19,hero,WS(찬장 안),cut,,full,재사용,생성 불필요,clips/s37.mp4,0.5,"x1.42@0.50,0.54",
36,25.467,26.233,0.767,23,hero,MCU,cut,,full,재사용,생성 불필요,clips/s37.mp4,1.133,"x2.1@0.49,0.54",
37,26.233,26.9,0.667,20,hero,MS,cut,,full,ref,minimax-h3 > kling-v3-omni,clips/s37.mp4,1.9,,
38,26.9,27.767,0.867,26,hero,ECU,cut,crash_zoom,full,edit,edit > minimax-h3 > hailuo-2-3,clips/s38.mp4,0.5,,
39,27.767,28.633,0.867,26,hero,ECU(로우앵글 셀카),cut,,full,ref,seedance-2-5 > kling-v3-omni,clips/s39.mp4,0.5,,
40,28.633,29.367,0.733,22,hero,MCU(로우앵글),cut,,full,ref,seedance-2-5 > kling-v3-omni,clips/s40.mp4,0.5,,
41,29.367,30.333,0.967,29,hero,MCU,cut,,full,재사용,생성 불필요,clips/s40.mp4,1.233,"x1.3@0.51,0.39",
42,30.333,31.367,1.033,31,insert,MS(개수대),cut,push_in_slow,full,still,still > kling-v3,clips/s42.mp4,0.5,,
43,31.367,31.633,0.267,8,hero,MCU,cut,,full,ref,kling-v3-omni > minimax-h3,clips/s43.mp4,0.5,,
44,31.633,32.533,0.9,27,hero,CU,cut,,full,재사용,생성 불필요,clips/s43.mp4,0.767,"x1.35@0.51,0.47",
45,32.533,33.8,1.267,38,hero,WS,cut,,full,ref,seedance-2-0 > kling-v3-omni,clips/s45.mp4,0.5,,
46,33.8,35.7,1.9,57,hero,MCU,cut,,full,ref,kling-v3-omni > seedance-2-0,clips/s46.mp4,0.5,,x1.045
47,35.7,37.0,1.3,39,hero,ECU,cut,,full,재사용,생성 불필요,clips/s46.mp4,2.4,"x2.24@0.53,0.42",
48,37.0,37.633,0.633,19,hero,MCU,cut,,full,재사용,생성 불필요,clips/s46.mp4,3.7,"x1.06@0.50,0.46",
49,37.633,37.667,0.033,1,black,-(검정 1프레임),cut,,full,edit,edit,clips/s49.mp4,0.5,,
